questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,"A small hotel owner is writing every bill by hand. A digital billing system can calculate totals, save sales records, and show daily earnings.

What is the best reason a programming language is needed to build such a system?",,,,,,1,,It lets humans give clear step-by-step instructions to the computer,It makes the computer understand human feelings automatically,It stores physical cash inside the computer,It removes the need for any logic or planning,,,0,markdown,"A programming language is a structured way to tell a computer what to do step by step. A billing system works because the computer follows exact instructions for input, calculation, output, and storage.

**Why other options are wrong:**
- B: Computers do not understand feelings or vague meaning automatically.
- C: Digital billing systems do not store physical cash inside the computer.
- D: Programming needs clear logic and planning."
mcsc,markdown,"A kirana shop program receives item quantity, multiplies it by price, and displays the final bill.

Which part is the **Process** in the Input → Process → Output model?",,,,,,2,,Entering the item quantity,Multiplying quantity by price,Showing the final bill,Saving the program file name,,,0,markdown,"In the IPO model, **Input** is the data received, **Process** is the calculation or logic performed, and **Output** is the result shown. Multiplying quantity by price is the processing step.

**Why other options are wrong:**
- A: Entering quantity is input.
- C: Showing the final bill is output.
- D: File naming is not part of this billing calculation flow."
mcsc,markdown,"Meera wants to start practising Python without installing anything on her laptop.

Which tool is most suitable for her first practice?",,,,,,1,,A browser-based online compiler like OneCompiler,A handwritten notebook only,A calculator app only,A photo editing app,,,0,markdown,"An online compiler lets beginners write and run Python directly in a browser. It is useful for starting practice without local installation.

**Why other options are wrong:**
- B: A notebook can help planning, but it cannot run Python code.
- C: A calculator cannot execute Python programs.
- D: A photo editing app is unrelated to writing and running Python code."
mcsc,markdown,"Python reads instructions exactly as written. A beginner writes:

```python
Print(""Hello"")
```

What is the main problem?",,,,,,1,,"Python is case-sensitive, so `Print` is not the same as `print`",Python cannot display text on the screen,Python accepts only capital letters for commands,The word Hello must always be written in Kannada,,,0,markdown,"Python is case-sensitive. The built-in function is written as `print`, not `Print`. A change in capitalisation can cause an error.

**Why other options are wrong:**
- B: Python can display text using `print()`.
- C: Python keywords and function names are not written only in capital letters.
- D: Python can store and display text in English, Kannada, or other languages when written correctly."
mcsc,markdown,"A student writes this Python code:

```python
city = ""Mysuru""
temperature = 28.5
is_raining = False
```

Which statement is correct?",,,,,,2,,"`city` is a float, `temperature` is a string, and `is_raining` is an integer","`city` is a string, `temperature` is a float, and `is_raining` is a boolean",All three values are strings because they are stored in variables,"Python cannot store text, decimals, and true/false values in the same program",,,0.5,markdown,"Text inside quotes is a **string**, a number with a decimal point is a **float**, and `True`/`False` values are **booleans**.

**Why other options are wrong:**
- A: The data types are incorrectly matched.
- C: Variables can store different types; variable storage does not make every value a string.
- D: Python can store multiple data types in the same program."
mcsc,markdown,"A bus fare program stores the distance as text:

```python
distance_text = ""15""
rate_per_km = 2.5
```

The programmer wants to multiply the distance by the rate. What should be done first?",,,,,,1,,Convert `distance_text` to a number using `float()` or `int()`,"Convert `rate_per_km` to the word `""rate""`",Put both values inside quotation marks before multiplying,Use `type()` to permanently change the value,,,0.5,markdown,"`""15""` is a string because it is inside quotes. It should be converted to a numeric type before arithmetic. `float(""15"")` gives `15.0`, and `int(""15"")` gives `15`.

**Why other options are wrong:**
- B: Changing the rate to text would prevent numeric calculation.
- C: Quotation marks make values strings, not numbers.
- D: `type()` checks a value's type; it does not convert the value."
mcmc,markdown,"A college stores basic student details in Python:

```python
student_name = ""Anita""
student_age = 19
percentage = 88.5
has_id_card = True
```

Which statements are correct?",,,,,,,,`student_name` stores text,`student_age` stores a whole number,`percentage` stores a decimal number,`has_id_card` must be written as lowercase `true` in Python,"1, 2, 3",,0.5,markdown,"`""Anita""` is a string, `19` is an integer, `88.5` is a float, and `True` is a boolean value. In Python, boolean values use capital `T` and `F`.

**Why other options are wrong:**
- D: Python uses `True` and `False`, not lowercase `true` and `false`."
mcmc,markdown,"Ravi is writing his first Python program in OneCompiler.

Which actions are correct beginner practices?",,,,,,,,Write code in the editor area,Click Run to execute the program,Use Save to keep the program for later,Expect Python to run automatically without clicking Run or executing the file,"1, 2, 3",,0.5,markdown,"In an online compiler, the editor is where code is written, Run executes the program, and Save helps keep work for later use.

**Why other options are wrong:**
- D: Typing code alone does not execute it. The program must be run."
mcmc,markdown,"A learner is designing a small notebook bill program before writing code. The customer buys 3 notebooks at ₹45 each, and the program should show the total cost.

Which statements correctly map this problem to Input → Process → Output?",,,,,,,,Input can include number of notebooks and price per notebook,Process can include multiplying 3 by 45,"Output can be the total cost, ₹135",Output should happen before input because the computer can guess the bill,"1, 2, 3",,1,markdown,"The input values are quantity and price. The process is the multiplication. The output is the calculated total. This follows the correct IPO order.

**Why other options are wrong:**
- D: A computer cannot guess the final bill before receiving and processing the needed information."
mcmc,markdown,"A programmer is checking why a simple marks program behaves unexpectedly:

```python
marks_text = ""85""
bonus = 5
```

Which statements are correct?",,,,,,,,`marks_text` is a string because `85` is written inside quotes,`bonus` is an integer because it is a whole number without quotes,"`int(marks_text)` can convert `""85""` into the number `85` for calculation","`int(""hello"")` safely converts the word `""hello""` into a number","1, 2, 3",,1,markdown,"Quoted values are strings, whole numbers without quotes are integers, and numeric text such as `""85""` can be converted using `int()`.

**Why other options are wrong:**
- D: `""hello""` is not numeric text, so converting it with `int()` causes a value conversion error."
subjective,markdown,"**Sahana** helps her uncle at a small stationery shop. A student buys notebooks and pens, and Sahana wants a simple Python program that stores the item details, calculates the bill, and displays a clean summary.

### Problem Statement

Write a Python program that:

1. Stores the shop name as text.
2. Stores the number of notebooks purchased as a whole number.
3. Stores the notebook price as a whole number.
4. Stores the number of pens purchased as a whole number.
5. Stores the pen price as a decimal number.
6. Calculates:
   - notebook total
   - pen total
   - final bill amount
7. Prints the shop name, item totals, and final bill clearly.
8. Uses `type()` to display the data type of at least three stored values.
9. Converts one numeric text value into a number before using it in calculation.
10. Adds at least two comments explaining important steps.

Use these fixed values in your program:

- Shop name: `""Sri Lakshmi Stationery""`
- Number of notebooks: `3`
- Notebook price: `45`
- Number of pens: `""4""` stored first as text, then converted to a number
- Pen price: `12.5`

### Expected Output

Your exact wording can be slightly different, but the output must clearly show:

```text
Shop: Sri Lakshmi Stationery
Notebook Total: 135
Pen Total: 50.0
Final Bill: 185.0
```

The output must also show data type checks for at least three values, such as the shop name, notebook count, and final bill.

### Constraints

- Use a single Python file.
- Use meaningful variable names.
- Use `print()` to display the output.
- Use `int()` or `float()` to convert the pen count before calculation.
- Use arithmetic operators for calculations; do not directly hard-code the final totals.
- Do not use `input()` because the values are fixed for this task.
- Write your complete program in [OneCompiler Python](https://onecompiler.com/python).

### Submission Instruction

1. Open [https://onecompiler.com/python](https://onecompiler.com/python) and create a new Python file.
2. Write your complete program in the editor, then click **Run** and verify the output.
3. Click the **Save** button at the top right.
4. Enter your **assignment name**, set visibility to **Public**, and save.
5. Click the **Share** button, copy the link, and submit that link in the answer box on the LMS.

![Step - 1](https://coding-platform.s3.amazonaws.com/dev/lms/tickets/5b930478-03c2-4255-a724-d0990da5e4f4/C0AFXttOJJhW3o1S.png)

![Step-2](https://coding-platform.s3.amazonaws.com/dev/lms/tickets/c817d308-66ca-4b5a-8579-db26951ad1a2/PGcKY2hqUQgysgPo.png)",,,,,,,,,,,,,,0.5,markdown,"### Step-by-step Walkthrough

1. Store the shop name as a string.
2. Store notebook quantity and notebook price as integers.
3. Store the pen count first as a string, then convert it to an integer before calculation.
4. Store pen price as a float.
5. Multiply quantity by price for each item.
6. Add both item totals to get the final bill.
7. Print the bill summary.
8. Use `type()` to check the data type of selected values.

### Reference Solution

```python
# Store stationery shop bill details
shop_name = ""Sri Lakshmi Stationery""

notebook_count = 3
notebook_price = 45

# Pen count is stored as text first, then converted for calculation
pen_count_text = ""4""
pen_count = int(pen_count_text)
pen_price = 12.5

# Calculate item totals and final bill
notebook_total = notebook_count * notebook_price
pen_total = pen_count * pen_price
final_bill = notebook_total + pen_total

print(""Shop:"", shop_name)
print(""Notebook Total:"", notebook_total)
print(""Pen Total:"", pen_total)
print(""Final Bill:"", final_bill)

print(type(shop_name))
print(type(notebook_count))
print(type(final_bill))
```

### Sample Verification

For the given values:

- Notebook total: `3 * 45 = 135`
- Pen total: `4 * 12.5 = 50.0`
- Final bill: `135 + 50.0 = 185.0`

### Alternative Approaches

- `float(pen_count_text)` can also be used because multiplication with `12.5` still works correctly.
- More `type()` checks can be added for `pen_count_text`, `pen_count`, and `pen_price`.
- The print messages can be formatted differently as long as the same values are clearly displayed."
